text_id	text	label	metadata__party	metadata__year	metadata__split
2618	Efficient collection and productive utilization of garbage will be made mandatory .	no pledge	BJP	2004	train
1510	India cannot afford to lose any more time on securing its energy requirements .	no pledge	BJP	2009	train
1781	The BJP will launch a massive programme, through public - private participation, to introduce a ‘Health for All’ scheme based on an innovative insurance policy .	pledge	BJP	2009	train
4691	We will launch MGNREGA 3 . 0 to address issues of water security, soil quality and similar issues that aggravate farmers’ distress .	pledge	INC	2019	train
5114	Congress promises to restore the Special Category status to the NES .	pledge	INC	2019	train
24	We will strengthen the traditional employment bases of agriculture and allied industries, and retail - through modernization as well as stronger credit and market linkages .	no pledge	BJP	2014	train
4968	We will appoint a Committee of Overseas Indian Citizens to review the work of the Missions in this regard .	pledge	INC	2019	train
1269	We will ensure appropriate electoral reforms to make the political process more transparent and accountable .	no pledge	INC	2014	train
5271	Panchayats, Municipalities and NGOs will be supported to install sanitary napkin vending machines in schools, colleges and select public places .	no pledge	INC	2019	train
381	Girls shall be provided all possible help to continue and complete school education .	no pledge	BJP	2014	train
1696	All these institutions will be made to recognise that our sportspersons are the most important entity in our strategy to achieve excellence in sports .	no pledge	BJP	2009	train
4510	We will effectively pursue co - operation against global evils, such as terrorism and corruption through forums like UN, the G20, BRICS, SCO, Commonwealth, etc .	no pledge	BJP	2019	train
2091	The Indian National Congress has pioneered reservations for minorities in Kerala, Karnataka and Andhra Pradesh in government employment and education on the basis of their social and economic backwardness .	no pledge	INC	2009	train
680	This will be taken up on a mission mode approach .	no pledge	BJP	2014	train
2373	They will be brought under the social security scheme for unorganized workers and the proposed Antyodaya Swasthya Yojana .	pledge	BJP	2004	train
2997	The truth is that the NHAI was established by the Congress government in 1995 .	no pledge	INC	2004	train
3284	Our aim is to move towards equal access to and opportunity of educational standards upto the school leaving stage .	no pledge	BJP	1999	train
1826	Schools will be involved in promoting environment and ecology - related issues among children .	no pledge	BJP	2009	train
971	3 . The Indian National Congress will expand the Rashtriya Swasthya Bima Yojana to enable access to a continuum of comprehensive primary, secondary and tertiary care .	pledge	INC	2014	train
4171	Continuing our efforts to developing irrigation, we will further expand Pradhan Mantri Krishi Sinchai Yojana to realize 100% irrigation potential of the country within a defined time - frame .	no pledge	BJP	2019	train
3460	This growth will come from new investments, from new technologies, from productivity and competitiveness .	no pledge	INC	1999	train
4979	Congress will create an institutional framework under which Central and State Governments may consult civil society organisations .	no pledge	INC	2019	train
3957	Special incentives for strengthening field - level administration, particularly at the level of the district, will be introduced .	no pledge	INC	1999	train
348	Fund for relief and rehabilitation of rape victims lies unused at the Centre as the Government has not worked out the modalities of dispensation .	pledge	BJP	2014	train
4216	A beginning has already been made through our initiatives like Digital India, Sta up India and Skill India .	no pledge	BJP	2019	train
935	GST is likely to increase the aggregate revenue which will be used to fund the extra investment in infrastructure, health and education .	no pledge	INC	2014	train
3312	These are the minimum requirements in this recently inaugurated era of global inequality and increased vulnerability .	no pledge	BJP	1999	train
3360	Experience has shown that coalitions have never worked at the centre .	no pledge	INC	1999	train
2129	They are the major generators of productive employment for our youth .	no pledge	INC	2009	train
2211	It has been the relentless endeavour of the Indian National Congress to fulfill the expectations of our people .	no pledge	INC	2009	train
5228	We promise to increase the amount earmarked for grants to colleges and universities .	no pledge	INC	2019	train
4621	In the last 5 years, there has been a dramatic rise in unemployment .	no pledge	INC	2019	train
1705	Under this scheme, bank accounts will be opened for the beneficiary women and they alone will be able to operate the accounts through specially designed smart cards .	no pledge	BJP	2009	train
3007	The Supreme Court has pulled up the Gujarat government repeatedly for its complicity in the communal carnage of 2001 .	no pledge	INC	2004	train
478	Set up the 'Organic Farming and Fertilizer Corporation of India', to promote organic farming and fertilizers, and provide incentives and support for marketing organic produce .	pledge	BJP	2014	train
2026	Their valuable recommendations will be taken up for implementation in a systematic manner and without any delay .	no pledge	INC	2009	train
174	Today, people of this country are frustrated with the present system .	no pledge	BJP	2014	train
5181	We promise to formulate a National Telemedicine Policy based on international best practices .	pledge	INC	2019	train
4009	While the armed forces will undergo a major technological transformation, the Congress will also take appropriate steps to build up and develop the human resources as well .	no pledge	INC	1999	train
4774	They created the 20 / 21 NPA scare that brought lending to a virtual halt .	no pledge	INC	2019	train
664	State Governments will be taken into confidence for harnessing of these resources .	no pledge	BJP	2014	train
579	This will be done in a planned manner focusing on national development, rather than political exigency .	no pledge	BJP	2014	train
1990	Around six and a half lakh women have been trained and posted as accredited social health activists (ASHAs) .	no pledge	INC	2009	train
4788	Unless we are vigilant, government has a tendency to interfere with markets as well as re - acquire control over trade, industry and business .	no pledge	INC	2019	train
676	Reform the National Security Council to make it the hub of all sector - related assessments .	pledge	BJP	2014	train
3327	We are committed to the economic, social and educational development of the minorities and will take effective steps in this regard .	no pledge	BJP	1999	train
1282	In the 2014 - 2019 period, the Indian National Congress will bring in a new wave of far reaching legal and judicial reforms aimed at transforming the current legal system .	no pledge	INC	2014	train
3748	All statutory dues to workers in the public and private sector companies will be cleared in a time - bound manner .	pledge	INC	1999	train
1397	The Gauhati High Court last year lashed out at the State Government for doing nothing to stop the illegal immigration .	no pledge	BJP	2009	train
2027	We will guarantee the maximum possible security to each and every citizen .	no pledge	INC	2009	train
3400	In our country, secularism can only mean equal respect for all religions and the clear separation of politics from and religion .	no pledge	INC	1999	train
250	BJP believes that half - hearted, incremental and piecemeal attempts for the development of tribals have not helped .	no pledge	BJP	2014	train
1509	Encouraging the production of cereals and discouraging the conversion of fertile farm land for dubious industrial projects .	no pledge	BJP	2009	train
2659	Recommendations of the Second Labor Commission will be implemented with necessary modifications to further strengthen welfare, training, and employment creation provisions .	no pledge	BJP	2004	train
167	promote e - Bhasha - National Mission for the promotion of IT in Indian Languages .	pledge	BJP	2014	train
3581	The National Literacy Mission has been an outstanding success and its work will be consolidated and expanded .	pledge	INC	1999	train
3614	Mortgage foreclosure laws will be enacted and all legal hurdles that stand in the way of accelerating housing and construction activity will be removed .	pledge	INC	1999	train
1661	Autonomous technology transfer organisations will be created as associate organisations of universities and national laboratories to transfer the know - how generated by them to industry .	pledge	BJP	2009	train
1238	In fields such as agriculture, financial services, commerce, education and health, this ICT - led Democratisation of Information is revolutionising service delivery, citizen interface and accountability through innovative practices .	no pledge	INC	2014	train
2028	Our policy is zero - tolerance towards terrorism from whatever source it originates .	no pledge	INC	2009	train
2539	The NDA is committed to making India as the Centre of the Knowledge Economy .	no pledge	BJP	2004	train
684	Talks with the insurgent groups will be conditional and within the framework of the constitution .	no pledge	BJP	2014	train
